,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches
0,Christian McCaffrey,CAR,RB,23,1,469.2,19,2392,405
1,Lamar Jackson,BAL,QB,22,9,415.68,43,4333,577
2,Derrick Henry,TEN,RB,25,5,294.6,18,1746,321
3,Aaron Jones,GNB,RB,25,3,314.8,19,1558,285
4,Ezekiel Elliott,DAL,RB,24,3,311.7,14,1777,355
5,Dalvin Cook,MIN,RB,24,4,292.4,13,1654,303
6,Michael Thomas,NOR,WR,26,1,374.6,9,1716,150
7,Travis Kelce,KAN,TE,30,1,254.3,6,1233,98
8,Nick Chubb,CLE,RB,24,3,255.2,8,1772,334
9,Austin Ekeler,LAC,RB,24,3,309.0,11,1550,224
10,Mark Ingram,BAL,RB,30,2,238.5,15,1265,228
11,Dak Prescott,DAL,QB,26,6,335.78,33,5179,648
12,Mark Andrews,BAL,TE,23,2,207.2,10,852,64
13,Russell Wilson,SEA,QB,31,8,326.6,34,4452,591
14,Chris Godwin,TAM,WR,23,0,274.1,9,1341,87
15,George Kittle,SFO,TE,26,1,222.5,5,1075,90
16,Deshaun Watson,HOU,QB,24,10,318.98,34,4271,578
17,Chris Carson,SEA,RB,25,7,232.6,9,1496,315
18,Darren Waller,OAK,TE,27,1,221.0,3,1150,92
19,Kenny Golladay,DET,WR,26,1,248.0,11,1190,65
20,Saquon Barkley,NYG,RB,22,1,244.1,8,1441,269
21,Zach Ertz,PHI,TE,29,1,213.6,6,916,88
22,Joe Mixon,CIN,RB,23,0,225.4,8,1424,313
23,Todd Gurley,LAR,RB,25,3,217.4,14,1064,254
24,Jared Cook,NOR,TE,32,0,167.5,9,705,43
25,Cooper Kupp,LAR,WR,26,3,270.5,10,1165,97
26,Julio Jones,ATL,WR,30,1,274.1,6,1391,101
27,DeVante Parker,MIA,WR,26,0,246.2,9,1202,72
28,Leonard Fournette,JAX,RB,24,1,259.4,3,1674,341
29,Jameis Winston,TAM,QB,25,12,297.36,34,5359,685
30,Austin Hooper,ATL,TE,25,0,189.7,6,787,75
31,Amari Cooper,DAL,WR,25,0,246.5,8,1195,80
32,Mike Evans,TAM,WR,26,0,230.7,8,1157,67
33,A.J. Brown,TEN,WR,22,1,217.1,9,1111,55
34,DeAndre Hopkins,HOU,WR,27,0,266.54,8,1189,108
35,Josh Jacobs,OAK,RB,21,1,191.6,7,1316,262
