,Player,Tm,Pos,Age,Fumbles,FantasyPoints,TDs,YDs,Touches,PredictedPoints,+/-
0,Joe Mixon,CIN,RB,21.0,3.0,141.3,4.0,913.0,208.0,94.08920979656611,True
1,D.J. Foster,ARI,RB,24.0,0.0,32.2,0.0,152.0,23.0,71.65619676191669,False
2,Brice Butler,DAL,WR,27.0,0.0,64.7,3.0,317.0,15.0,99.07422198718439,False
3,David Njoku,CLE,TE,22.0,0.0,143.9,4.0,639.0,56.0,112.9323852317871,True
4,Matt LaCosse,NWE,TE,27.0,0.0,32.1,1.0,131.0,13.0,78.32624893123821,False
5,Rex Burkhead,NWE,RB,29.0,1.0,101.1,3.0,581.0,92.0,96.26585663428871,True
6,Frank Gore,IND,RB,34.0,3.0,173.6,4.0,1206.0,290.0,91.7365462424229,True
7,Albert Wilson,MIA,WR,26.0,0.0,96.78,5.0,459.0,35.0,113.47693794160398,False
8,Mitchell Trubisky,CHI,QB,25.0,5.0,200.82,19.0,3331.0,564.0,229.3976402067586,False
9,Allen Hurns,MIA,WR,28.0,1.0,83.6,2.0,416.0,32.0,95.05474199771423,False
10,Alex Erickson,CIN,WR,26.0,1.0,36.90000000000001,0.0,189.0,23.0,73.64726140039589,False
11,Kenny Golladay,DET,WR,25.0,1.0,207.1,5.0,1071.0,71.0,138.45521419626547,True
12,Trenton Cannon,NYJ,RB,24.0,0.0,48.7,1.0,257.0,55.0,75.82578724386298,False
13,Jarvis Landry,CLE,WR,26.0,1.0,215.12,5.0,1099.0,86.0,136.64737868251552,True
14,Vernon Davis,WAS,TE,33.0,2.0,121.8,3.0,648.0,43.0,110.69894930472782,True
15,Kenneth Dixon,BAL,RB,24.0,2.0,54.4,2.0,384.0,66.0,85.81967598221937,False
16,Tyrell Williams,LAC,WR,26.0,2.0,137.8,5.0,668.0,43.0,122.9559827173571,True
17,Marvin Jones,DET,WR,29.0,0.0,193.9,9.0,779.0,64.0,146.65031916130187,True
18,Russell Wilson,SEA,QB,29.0,14.0,343.92,37.0,4569.0,648.0,378.08293912984016,False
19,Derrick Henry,TEN,RB,24.0,1.0,201.36,12.0,1172.0,233.0,147.22547940593458,True
20,Tyler Kroft,CIN,TE,25.0,0.0,124.4,7.0,404.0,42.0,120.15122219118413,True
21,Zach Pascal,IND,WR,25.0,0.0,133.3,5.0,623.0,44.0,120.31344514103344,True
22,Devlin Hodges,PIT,QB,23.0,5.0,51.32,5.0,1131.0,181.0,117.37699536230703,False
23,Jason Witten,DAL,TE,35.0,1.0,147.0,5.0,560.0,63.0,112.72477696589831,True
24,James White,NWE,RB,27.0,1.0,198.2,6.0,943.0,140.0,121.9104971191614,True
25,Jeremy Kerley,NYJ,WR,29.0,3.0,45.7,1.0,217.0,22.0,80.96537662252233,False
26,Amari Cooper,DAL,WR,25.0,0.0,246.5,8.0,1195.0,80.0,159.91039246886737,True
27,Virgil Green,LAC,TE,30.0,0.0,46.0,1.0,210.0,19.0,81.25160614435688,False
28,Tyrell Williams,LAC,WR,25.0,1.0,137.8,4.0,728.0,43.0,120.59434505681392,True
29,James White,NWE,RB,25.0,0.0,134.0,3.0,600.0,99.0,95.7414879041327,True
30,Kyle Juszczyk,SFO,RB,27.0,2.0,67.4,1.0,354.0,38.0,84.80213743314596,False
31,Carlos Hyde,SFO,RB,27.0,2.0,233.8,8.0,1288.0,299.0,116.5219882159092,True
32,Antonio Callaway,CLE,WR,21.0,1.0,130.29999999999998,5.0,593.0,45.0,118.47809593166082,True
33,Parris Campbell,IND,WR,22.0,3.0,38.1,1.0,161.0,22.0,77.95187338590516,False
34,N'Keal Harry,NWE,WR,22.0,0.0,39.4,2.0,154.0,17.0,84.27043898702813,False
35,Miles Sanders,PHI,RB,22.0,2.0,216.7,6.0,1327.0,229.0,122.90796899622711,True
36,Devontae Booker,DEN,RB,26.0,1.0,87.8,1.0,458.0,72.0,82.88557927800709,True
37,Kenyan Drake,2TM,RB,25.0,2.0,212.2,8.0,1162.0,220.0,127.19843149569547,True
38,Chris Ivory,BUF,RB,30.0,1.0,78.0,1.0,590.0,128.0,77.61437828082428,True
39,Keenan Allen,LAC,WR,25.0,1.0,278.2,6.0,1402.0,104.0,154.56547026480334,True
40,Dwayne Haskins,WAS,QB,22.0,6.0,74.7,7.0,1466.0,223.0,137.304140511144,False
41,Joe Mixon,CIN,RB,23.0,0.0,225.4,8.0,1424.0,313.0,120.74688141967724,True
42,Laquon Treadwell,MIN,WR,22.0,1.0,40.0,0.0,200.0,20.0,74.90211696257168,False
43,Levine Toilolo,DET,TE,27.0,0.0,53.3,1.0,263.0,21.0,83.66172675664272,False
44,Emmanuel Sanders,2TM,WR,32.0,0.0,188.3,6.0,904.0,67.0,135.94279807444025,True
45,James Conner,PIT,RB,23.0,4.0,276.0,13.0,1470.0,270.0,160.6760311652979,True
46,Carson Wentz,PHI,QB,27.0,16.0,271.86,28.0,4282.0,669.0,307.68479290216965,False
47,Matt Ryan,ATL,QB,33.0,10.0,350.96000000000015,39.0,5054.0,642.0,416.68864677077465,False
48,Tyler Higbee,LAR,TE,24.0,0.0,60.5,1.0,295.0,25.0,84.49983870425596,False
49,Matt LaCosse,DEN,TE,26.0,0.0,55.0,1.0,250.0,24.0,82.29924607887345,False
